"","x"
"187","W 56 St & 10 Ave"
"188","E 81 St & Park Ave"
"189","Metropolitan Ave & Meeker Ave"
"190","Frederick Douglass Blvd & W 117 St"
"191","1 Ave & E 5 St"
"192","Central Park W & W 103 St"
"193","3 Ave & E 170 St"
"194","Suydam St & St. Nicholas Ave"
"195","MacDougal St & Washington Sq"
"196","St Nicholas Ave & E 134 St"
"197","E 17 St & Broadway"
"198","West End Ave & W 78 St"
"199","W 140 St & Riverside Dr"
"200","Lenox Ave & W 117 St"
"201","E 102 St & 1 Ave"
"202","Grand Army Plaza & Central Park S"
"203","Suydam St & Broadway"
"204","W 52 St & 11 Ave"
"205","1 Ave & E 44 St"
"206","Pike St & E Broadway"
"207","Smith St & 9 St"
"208","8 Ave & W 16 St"
"209","Calyer St & Jewel St"
"210","Amsterdam Ave & W 183 St"
"211","Grand Concourse & E 144 St"
"212","1 Ave & E 16 St"
"213","E 85 St & 3 Ave"
"214","7 Ave & Central Park South"
"215","Macon St & Nostrand Ave"
"216","W 89 St & Columbus Ave"
"217","Adam Clayton Powell Blvd & W 138 St"
"218","1 Ave & E 30 St"
"219","Graham Ave & Grand St"
"220","Suydam St & Knickerbocker Ave"
"221","Clinton St & Joralemon St"
"222","Columbia St & Rivington St"
"223","E 39 St & Lexington Ave"
"224","Stockholm St & Wilson Ave"
"225","E 157 St & River Ave"
"226","Sterling Pl & Bedford Ave"
"227","Park Ave & St Edwards St"
"228","W 106 St & Central Park West"
"229","W 25 St & 6 Ave"
"230","Allen St & Rivington St"
"231","Spring St & Hudson St"
"232","E 161 St & River Ave"
"233","Lenox Ave & W 130 St"
"234","Garfield Pl & 8 Ave"
"235","Greenwich St & W Houston St"
"236","Cypress Ave & George St"
"237","East End Ave & E 86 St"
"238","E 81 St & 3 Ave"
"239","Broadway & W 25 St"
"240","Clinton St & Grand St"
"241","39 St & 2 Ave"
"242","Washington Pl & 6 Ave"
"243","Broadway & W 41 St"
"244","Fulton St & Utica Ave"
"245","E 47 St & Park Ave"
"246","Edgecombe Ave & W 141 St"
"247","Watts St & Greenwich St"
"248","E 174 St & Walton Ave"
"249","Henry St & Atlantic Ave"
"250","Washington Park"
"251","West End Ave & W 60 St"
"252","S 4 St & Rodney St"
"253","Riverside Dr & W 138 St"
"254","8 Ave & W 38 St"
"255","W 47 St & 6 Ave"
"256","E 2 St & Avenue A"
"257","Greene Ave & Throop Ave"
"258","E 10 St & Avenue A"
"259","W 15 St & 10 Ave"
"260","E 2 St & Avenue C"
"261","Lenox Ave & W 115 St"
"262","Monroe St & Tompkins Ave"
"263","Pike St & Monroe St"
"264","Columbus Ave & W 103 St"
"265","8 Ave & W 31 St"
"266","Menahan St & Wyckoff Ave"
"267","14 St & 7 Ave"
"268","Nelson Ave & W 172 St"
"269","Broadway & W 38 St"
"270","W 55 St & 6 Ave"
"271","Kingston Ave & Herkimer St"
"272","W 116 St & Amsterdam Ave"
"273","Norman St & Wyckoff Ave"
"274","Myrtle Ave & Lewis Ave"
"275","Clermont Ave & Lafayette Ave"
"276","E 118 St & 3 Ave"
"277","W 42 St & 8 Ave"
"278","Lexington Ave & E 26 St"
"279","2 Ave & E 104 St"
"280","Madison St & Seneca Ave"
"281","Amsterdam Ave & W 156 St"
"282","E 110 St & Madison Ave"
"283","St. Nicholas Ave & W 126 St"
"284","Avenue D & E 10 St"
"285","W 107 St & Columbus Ave"
"286","E 30 St & Park Ave S"
"287","E 95 St & 3 Ave"
"288","Macombs Pl & W 152 St"
"289","Lenox Ave & W 146 St"
"290","21 St & 36 Ave"
"291","E 91 St & 2 Ave"
"292","W 87 St & Amsterdam Ave"
"293","Lorimer St & Broadway"
"294","Nassau St & Navy St"
"295","Cathedral Pkwy & Broadway"
"296","Madison St & Woodward Ave"
"297","Greenpoint Ave & Manhattan Ave"
"298","Bradhurst Ave & W 148 St"
"299","E 48 St & 3 Ave"
"300","E 93 St & 2 Ave"
"301","Amsterdam Ave & W 82 St"
"302","Bayard St & Baxter St"
"303","E 11 St & 2 Ave"
"304","E 149 St & Jackson Ave"
"305","W 33 St & 7 Ave"
"306","1 Ave & E 39 St"
"307","Onderdonk Ave & Gates Ave"
"308","E 20 St & Park Ave"
"309","44 Dr & Jackson Ave"
"310","E 27 St & 1 Ave"
"311","Gansevoort St & Hudson St"
"312","Central Park West & W 85 St"
"313","Broadway & W 56 St"
"314","Murray St & Greenwich St"
"315","9 Ave & W 18 St"
"316","W 145 St & Amsterdam Ave"
"317","4 Ave & 9 St"
"318","6 St & 7 Ave"
"319","Warren St & W Broadway"
"320","Front St & Maiden Ln"
"321","W 24 St & 7 Ave"
"322","Dean St & 4 Ave"
"323","31 St & Thomson Ave"
"324","Henry St & Grand St"
"325","Queens Plaza North & Crescent St"
"326","8 Ave & W 52 St"
"327","Willoughby Ave & Walworth St"
"328","Jefferson St & Cypress Ave"
"329","Willis Ave & E 141 St"
"330","Jackson Ave & 46 Rd"
"331","Albany Ave & Fulton St"
"332","Bushwick Ave & McKibbin St"
"333","1 Ave & E 62 St"
"334","Richards St & Delavan St"
"335","E 47 St & 1 Ave"
"336","Stanton St & Mangin St"
"337","Mercer St & Spring St"
"338","Commerce St & Van Brunt St"
"339","Cleveland Pl & Spring St"
"340","Broadway & W 122 St"
"341","Union St & 4 Ave"
"342","River Ave & E 151 St"
"343","Division Ave & Marcy Ave"
"344","Cherry St"
"345","Riverside Blvd & W 67 St"
"346","Crotona Park North & Prospect Ave"
"347","Verona Pl & Fulton St"
"348","Ditmars Blvd & 19 St"
"349","1 Ave & E 18 St"
"350","37 Ave & 35 St"
"351","Stanton St & Chrystie St"
"352","W 31 St & 7 Ave"
"353","Central Park West & W 68 St"
"354","Madison Ave & E 99 St"
"355","E 118 St & Park Ave"
