"","x"
"817","Plaza St West & Flatbush Ave"
"818","Grand Army Plaza & Plaza St West"
"819","Jay St & Tech Pl"
"820","1 Pl & Clinton St"
"821","E 174 St & Longfellow Ave"
"822","Duane St & Greenwich St"
"823","Fulton St & Adams St"
"824","Hoyt St & Warren St"
"825","Fulton St & Clermont Ave"
"826","Clinton St & 4 Place"
"827","Green St & McGuinness Blvd"
"828","Division Ave & Hooper St"
"829","Driggs Ave & N 9 St"
"830","45 Rd & 11 St"
"831","43 St & Broadway"
"832","W 159 St & Edgecombe Ave"
"833","3 St & 3 Ave"
"834","W 16 St & The High Line"
"835","Broadway & Moylan Pl"
"836","E 106 St & 1 Ave"
"837","Berkeley Pl & 6 Ave"
"838","Vernon Blvd & 47 Rd"
"839","Clay Ave & Claremont Pkwy"
"840","Jackson St & Leonard St"
"841","N 12 St & Bedford Ave"
"842","Ogden Ave & W 165 St"
"843","Old Broadway & W 133 St"
"844","Walton Ave & E 171 St"
"845","Grove St & Broadway"
"846","Broadway & Whipple St"
"847","Union Ave & Jackson St"
"848","38 Ave & 29 St"
"849","Harrison Pl & Porter Ave"
"850","36 Ave & 31 St"
"851","E 50 St & Park Ave"
"852","W 165 St & Fort Washington Ave"
"853","Van Brunt St & Van Dyke St"
"854","E 138 St & 5 Av"
"855","Stanton St & Norfolk St"
"856","W 104 St & Amsterdam Ave"
"857","Powers St & Olive St"
"858","Eastern Pkwy & Washington Ave"
"859","Montague St & Clinton St"
"860","31 Ave & 14 St"
"861","Beaver St & Fayette St"
"862","President St & Henry St"
"863","Carroll St & Smith St"
"864","Amsterdam Ave & W 131 St"
"865","Goble Pl & Macombs Rd"
"866","Wyckoff Av & Stanhope St"
"867","St. Nicholas Ave & W 155 St"
"868","Boston Rd & Prospect Ave"
"869","14 St & 5 Ave"
"870","Lincoln Pl & Classon Ave"
"871","Atlantic Ave & Fort Greene Pl"
"872","Bedford Ave & Montgomery St"
"873","McKibbin St & Bogart St"
"874","3 St & Hoyt St"
"875","Willoughby Ave & Onderdonk Ave"
"876","Amsterdam Ave & W 172 St"
"877","Banker St & Meserole Ave"
"878","Leonard St & Boerum St"
"879","Wyckoff Av & Jefferson St"
"880","Riverside Dr & W 148 St"
"881","Bushwick Ave & Powers St"
"882","Carroll St & Washington Ave"
"883","35 Ave & 10 St"
"884","Putnam Ave & Wyckoff Ave"
"885","N 11 St & Kent Ave"
"886","Carlton Ave & Dean St"
"887","Central Ave & Himrod St"
"888","21 St & Queens Plaza North"
"889","St James Pl & Oliver St"
"890","Clinton St & Centre St"
"891","Stanhope St & Fairview Ave"
"892","Franklin Ave & Myrtle Ave"
"893","Melrose Ave & E 150 St"
"894","Icahn Stadium"
"895","Dock 72 Way & Market St"
"896","Columbia St & W 9 St"
"897","7 St & 3 Ave"
"898","31 St & Northern Blvd"
"899","E 133 St & Cypress Pl"
"900","Maiden Ln & Pearl St"
"901","21 St & 43 Ave"
"902","Park Pl & Franklin Ave"
"903","Linden St & Knickerbocker Ave"
"904","Willoughby Ave & Myrtle Ave"
"905","Mount Eden Pkwy & Eastburn Ave"
"906","35 St & 34 Ave"
"907","E 56 St & Madison Ave"
"908","Southern Blvd & E 175 St"
"909","Willis Ave & E 137 St"
"910","E 138 St & Canal St W"
"911","Clermont Ave & Park Ave"
"912","Central Ave & Starr Street"
"913","E 156 & Brook Ave"
"914","5 Ave & E 78 St"
"915","Putnam Ave & Knickerbocker Ave"
"916","19 St & 24 Ave"
"917","Fulton Ave & E 168 St"
"918","Putnam Ave & Throop Ave"
"919","Centre St & Seneca Ave"
"920","Myrtle Ave & Grove St"
"921","11 St & 43 Ave"
"922","Washington Ave & E 163 St"
"923","Waterloo Pl & Crotona Park East"
"924","Humboldt St & Varet St"
"925","31 St & Astoria Blvd"
"926","W 181 St & Riverside Dr"
"927","Fairview Ave & Linden St"
"928","Frost St & Meeker Ave"
"929","Amsterdam Ave & W 167 St"
"930","Convent Ave & W 135 St"
"931","Marcus Garvey Blvd & Macon St"
"932","St. Nicholas Terrace & Convent Ave"
"933","Knickerbocker Ave & Hancock St"
"934","Central Ave & Weirfield St"
"935","Grand Concourse & E 161 St"
"936","Bushwick Ave & Dekalb Ave"
"937","George St & Wilson Ave"
"938","Stuyvesant Walk & 1 Av Loop"
"939","Lefferts Pl & Franklin Ave"
"940","White St & Johnson Ave"
"941","Irving Ave & Harman St"
"942","Cedar St & Evergreen Ave"
"943","36 Ave & 10 St"
"944","Adam Clayton Powell Blvd & W 151 St"
"945","Cabrini Blvd & W 177 St"
"946","3 Ave & E 112 St"
"947","W 148 St & Amsterdam Ave"
"948","47 Ave & 31 St"
"949","Myrtle Ave & St Edwards St"
"950","Melrose Ave & E 154 St"
"951","Lincoln Ave & E 138 St"
"952","Broadway & W 165 St"
"953","Morris Ave & E 153 St"
"954","Prospect Pl & 6 Ave"
"955","Clinton Ave & Flushing Ave"
"956","Kosciuszko St & Nostrand Ave"
"957","Wolcott St & Dwight St"
"958","Fulton St & Irving Pl"
"959","Court St & Nelson St"
"960","Grand Concourse & East Mount Eden Ave"
"961","Washington Ave & E 174 St"
"962","Eldert St & Bushwick Ave"
"963","Prospect Ave & Longwood Ave"
"964","Lewis Ave & Decatur St"
"965","W 144 St & Adam Clayton Powell Blvd"
"966","Willis Ave & E 143 St"
"967","Irving Ave & DeKalb Ave"
"968","Jerome Ave & Anderson Ave"
"969","Hancock St & Wyckoff Ave"
"970","W 163 St & Riverside Dr"
"971","E 128 St & Madison Ave"
"972","Morningside Dr & Amsterdam Ave"
"973","Jefferson Ave & Evergreen Ave"
"974","Bronx Shore Comfort Station"
"975","College Ave & E 170 St"
"976","W 160 St & St. Nicholas Ave"
"977","W 155 St & Frederick Douglass Blvd"
"978","Throop Ave & Myrtle Ave"
"979","Menahan St & Central Ave"
"980","Grand Concourse & E 164 St"
"981","E 134 St & Walnut Ave"
"982","E 138 St & Grand Concourse"
"983","Central Ave & Decatur St"
"984","E 167 St & Clay Ave"
"985","Vernon Blvd & 41 Rd"
"986","Columbia St & Lorraine St"
"987","E 135 St & St Ann's Ave"
"988","Willoughby Ave & Wyckoff Ave"
"989","Beck St & Leggett Ave"
"990","7 St & 5 Ave"
"991","Old Slip & South St"
"992","Manhattan Av & Leonard St"
"993","Berkeley Pl & 7 Ave"
"994","24 Ave & 29 St"
"995","E 138 St & Willow Ave"
"996","Park Pl & Church St"
"997","Westchester Ave & Jackson Ave"
"998","Courtlandt Ave & E 149 St"
"999","Wadsworth Ave & W 175 St"
"1000","Harlem River Dr & W 155 St"
"1001","Halsey St & Evergreen Ave"
"1002","Convent Ave & W 151 St"
"1003","Devoe St & Morgan Ave"
"1004","3 Ave & 14 St"
"1005","Gerard Ave & E 146 St"
"1006","Southpoint Park"
"1007","3 Ave & Carroll St"
"1008","34 Ave & 31 St"
"1009","W 129 St & Convent Ave"
"1010","28 St & 36 Ave"
"1011","E 144 St & Brook Ave"
"1012","Kent St & McGuinness Blvd"
"1013","Riverside Dr & W 153 St"
"1014","Murray St & West St"
"1015","Nostrand Ave & Myrtle Ave"
"1016","Lexington Ave & E 127 St"
"1017","Woodward Ave & Harman St"
"1018","Broadway & W 153 St"
"1019","W 133 St & 12 Ave"
"1020","Crescent St & Ditmars Blvd"
"1021","Broad St & Bridge St"
"1022","E 150 St & Gerard Ave"
"1023","Brooklyn Bridge Park - Pier 2"
"1024","E 165 St & Jerome Ave"
"1025","River Ave & McClellan St"
"1026","W 171 St & St. Nicholas Ave"
"1027","Bushwick Ave & Furman Ave"
"1028","N 15 St & Wythe Ave"
"1029","Grant Ave & E 169 St"
"1030","St Mary's St & Jackson Ave"
"1031","Dwight St & Van Dyke St"
"1032","Montgomery St & Franklin Ave"
"1033","Grand Concourse & E 171 St"
"1034","Concourse Village East & E 158 St"
"1035","Fort Washington Ave & W 173 St"
"1036","Irving Ave & Halsey St"
"1037","Wales Ave & E 147 St"
"1038","Madison St & Forest Ave"
"1039","St. Ann's Ave & E 144 St"
"1040","Alexander Ave & E 134 St"
"1041","Stephen St & Seneca Ave"
"1042","W 41 St & 8 Ave"
"1043","5 St & 51 Ave"
"1044","Pacific St & Classon Ave"
"1045","Delancey St & Eldridge St"
"1046","Sigourney St & Columbia St"
"1047","8 St & Astoria Blvd"
"1048","Metropolitan Ave & Stewart Ave"
"1049","E 165 St & Clay Ave"
"1050","Freeman St & Southern Blvd"
"1051","Louis Nine Blvd & Intervale Ave"
"1052","Willow Ave & E 133 St"
"1053","Boston Rd & E 167 St"
"1054","Fulton Ave & St. Paul's Pl"
"1055","E 169 St & Fox St"
"1056","Walton Ave & E 153 St"
"1057","Henry St & W 9 St"
"1058","31 St & Hoyt Ave N"
"1059","12 Ave & W 125 St"
"1060","Frederick Douglass Blvd & W 145 St"
"1061","Plaza Dr & W 170 St"
"1062","Westchester Ave & Longwood Ave"
"1063","Brook Ave & E 157 St"
"1064","E 163 St & Union Ave"
"1065","Cypress Ave & Palmetto St"
"1066","St. Nicholas Ave & W 157 St"
"1067","Ogden Ave & Merriam Ave"
"1068","9 St & 44 Rd"
"1069","21 St & 38 Ave"
"1070","Hart St & Wyckoff Ave"
"1071","Knickerbocker Ave & Cooper St"
"1072","E 149 St & Eagle Ave"
"1073","Tompkins Ave & Hopkins St"
"1074","Lincoln Ave & E 134 St"
"1075","47 Ave & Skillman Ave"
"1076","E 170 St & Clay Ave"
"1077","3 Ave & E 174 St"
"1078","E 170 St & Webster Ave"
"1079","Bushwick Ave & Stagg St"
"1080","Hunts Point Ave & Bryant Ave"
"1081","Southern Blvd & E 174 St"
"1082","Shakespeare Ave & W 169 St"
"1083","Prospect Ave & E 151 St"
"1084","Prospect Ave & E 167 St"
"1085","Jerome Ave & Ogden Ave"
"1086","10 St & 7 Ave"
"1087","24 St & 41 Ave"
"1088","Boone Ave & E 172 St"
"1089","Knickerbocker Ave & Halsey St"
"1090","Central Ave & Covert St"
"1091","Stewart Ave & Johnson Ave"
"1092","Amsterdam Ave & W 136 St"
"1093","Amsterdam Ave & W 175 St"
"1094","3 Ave & Franklin Ave"
"1095","Washington Ave & E 167 St"
"1096","E 147 St & Bergen Ave"
"1097","E 163 St & Tiffany St"
"1098","Tinton Ave & E 165 St"
"1099","E 171 St & Webster Ave"
"1100","Grand Concourse & E 166 St"
"1101","Anderson Ave & W 164 St"
"1102","Inwood Ave & W 170 St"
"1103","Railroad Ave & Kay Ave"
"1104","Crotona Park East & E 173 St"
"1105","Lafayette Ave & Hunts Point Ave"
"1106","E 153 St & E 157 St"
"1107","E 165 St & Fox St"
"1108","Intervale Ave & Westchester Ave"
"1109","E 141 St & St Ann's Ave"
"1110","Morris Ave & E 142 St"
"1111","Madison St & Cypress Ave"
"1112","Longfellow Ave & E 165 St"
"1113","Frederick Douglass Blvd & Harlem River Dr"
"1114","E 155 St & Courtlandt Ave"
"1115","Sheridan Ave & E 168 St"
"1116","Grand Concourse & E 156 St"
"1117","Fulton Ave & E 172 St"
"1118","Seneca Ave & Irvine St"
"1119","Harman St & Seneca Ave"
"1120","Brook Ave & E 141 St"
"1121","Brook Ave & E 138 St"
"1122","Broadway & Furman Ave"
"1123","Sherman Ave & E 166 St"
"1124","Southern Blvd & Avenue St. John"
"1125","Morris Ave & McClellan St"
"1126","34th Ave & Vernon Blvd"
"1127","Wilkins Ave & Crotona Park E"
"1128","27 Ave & 3 St"
"1129","Concourse Village West & E 156 St"
"1130","E 138 St & Cypress Ave"
"1131","E 158 St & Melrose Ave"
"1132","Greene Ave & Grandview Ave"
"1133","Courtlandt Ave & E 157 St"
"1134","3 Ave & E 172 St"
"1135","Hoe Ave & Jennings St"
"1136","Southern Blvd & E 142 St"
"1137","E 167 St & Franklin Ave"
"1138","Gerard Ave & E 164 St"
"1139","Audobon Ave & W 179 St"
"1140","35 St & 23 Ave"
"1141","Metropolitan Ave & Vandervoort Ave"
"1142","St. Ann's Av & Bruckner Blvd"
"1143","Union Ave & E 169 St"
"1144","Westchester Ave & E 156 St"
"1145","Walnut Ave & E 136 St"
"1146","Franklin Ave & E 169 St"
"1147","Somers St & Broadway"
"1148","Bergen Ave & E 152 St"
"1149","St Ann's Ave & Westchester Ave"
"1150","Garrison Ave & Manida St"
"1151","Bruckner Blvd & Bryant Ave"
"1152","Riverview Park"
"1153","Freeman St & Reverend James A Polite Ave"
"1154","Cauldwell Ave & E 161 St"
"1155","Sheridan Ave & E 172 St"
"1156","West Farms Rd & Boone Ave"
"1157","W 167 St & St. Nicholas Ave"
"1158","24 St & 38 Ave"
"1159","Prospect Ave & Jennings St"
"1160","E 160 St & Tinton Ave"
